ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051304	chromosome separation	14/900	90/18670	9.81309828007254e-05	0.00363375394830242	0.0030024637544643	DUSP1/MAPK15/HECW2/MAD2L1/TTK/NCAPH/PLK1/CCNB1/BUB1B/CDC6/AURKB/TOP2A/CDC20/DLGAP5	14
BP	GO:1903035	negative regulation of response to wounding	14/900	90/18670	9.81309828007254e-05	0.00363375394830242	0.0030024637544643	CPB2/TNR/AJAP1/THBD/VTN/KLKB1/FGF2/MYOZ1/SERPING1/PDGFB/MDK/PROC/TSPAN8/SPP1	14
BP	GO:0030326	embryonic limb morphogenesis	17/900	125/18670	0.000104827650002396	0.00382506147709472	0.0031605355252355	GPC3/ALDH1A2/RSPO2/TBX2/TBX4/ZBTB16/CYP26B1/RECK/TBX3/WNT7A/MYH3/FRAS1/GJA5/SALL4/CRABP2/PITX1/HOXC10	17
BP	GO:0035113	embryonic appendage morphogenesis	17/900	125/18670	0.000104827650002396	0.00382506147709472	0.0031605355252355	GPC3/ALDH1A2/RSPO2/TBX2/TBX4/ZBTB16/CYP26B1/RECK/TBX3/WNT7A/MYH3/FRAS1/GJA5/SALL4/CRABP2/PITX1/HOXC10	17
BP	GO:0048841	regulation of axon extension involved in axon guidance	8/900	32/18670	0.000105722202786328	0.0038297484907888	0.00316440826646492	WNT3A/SEMA3G/SEMA6A/SEMA5A/SEMA6D/SEMA3D/CXCL12/SEMA4B	8
BP	GO:0033045	regulation of sister chromatid segregation	13/900	80/18670	0.000109321790350109	0.00393165201410213	0.00324860814338378	DUSP1/MAPK15/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDCA5/CDC20/DLGAP5	13
BP	GO:0051899	membrane depolarization	14/900	91/18670	0.000110912941677923	0.00393813972752966	0.00325396874971339	MYOC/FHL1/CAV1/CAV3/SCN2B/SCN4B/SCN7A/NPFF/SCN1A/ATP1A2/CACNG4/CACNB4/KDR/GJA5	14
BP	GO:0032409	regulation of transporter activity	29/900	283/18670	0.00011107775586751	0.00393813972752966	0.00325396874971339	GRIA1/FHL1/NOS1/CAV1/FXYD1/CAV3/SCN2B/ARC/ADRB2/SCN4B/ACTN2/SHANK3/ATP1A2/CACNG4/RGS9/CASQ2/REM1/PRKCE/CACNB4/ATP1B2/HECW2/RYR2/JPH4/GSTM2/FXYD6/WNK2/ATP1B1/TESC/HTR3A	29
BP	GO:0051306	mitotic sister chromatid separation	11/900	60/18670	0.000120337745309087	0.00423639710422624	0.00350041002663349	DUSP1/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	11
BP	GO:0050817	coagulation	33/900	342/18670	0.000123778247177002	0.00429699623359605	0.00355048130060347	WNT3A/P2RX6/CPB2/P2RX2/SCUBE1/CAV1/ITGA2B/GATA1/GP9/PEAR1/GATA2/VWF/TRPC3/THBD/CD36/VTN/KLKB1/MMRN1/FBLN1/P2RX1/A2M/PRKCE/F10/SELP/SERPING1/PRTN3/PDGFB/F2RL1/SLC7A11/C4BPB/PROC/TSPAN8/HNF4A	33
BP	GO:1904062	regulation of cation transmembrane transport	33/900	342/18670	0.000123778247177002	0.00429699623359605	0.00355048130060347	DPP6/GRIA1/FHL1/NOS1/CAV1/FXYD1/RAMP3/CAV3/SCN2B/ARC/ADRB2/SCN4B/TMC2/ACTN2/SHANK3/ATP1A2/CACNG4/RGS9/CASQ2/CX3CL1/REM1/PRKCE/CACNB4/ATP1B2/HECW2/TRPC1/RYR2/JPH4/GSTM2/FXYD6/WNK2/ATP1B1/TESC	33
BP	GO:0045165	cell fate commitment	28/900	271/18670	0.000125906302389748	0.00430233881290977	0.00355489571637652	WNT3A/SOSTDC1/GATA1/EPAS1/TAL1/FGF10/SFRP1/TBX2/GATA2/TBX21/TBX4/HOXA2/CYP26B1/WNT2B/TBX3/WNT7A/GAS1/FGF2/SOX18/NTRK3/DSCAML1/SOX17/SPN/SIX2/MNX1/SPDEF/PITX1/HOXC10	28
BP	GO:0010927	cellular component assembly involved in morphogenesis	16/900	115/18670	0.000126418141960395	0.00430233881290977	0.00355489571637652	SYNPO2L/ANKRD1/TNNT3/CAV3/TCAP/ACTN2/MYH10/PGM5/NFASC/LDB3/CASQ2/TMOD1/TNNT2/MYOZ1/MYH3/SIX4	16
BP	GO:0007088	regulation of mitotic nuclear division	20/900	164/18670	0.00012651406391233	0.00430233881290977	0.00355489571637652	CAV2/DUSP1/HECW2/PDGFB/NUSAP1/TGFA/MAD2L1/TTK/PLK1/ANLN/CCNB1/BUB1B/CDC6/AURKB/CDCA5/CDC20/UBE2C/DLGAP5/CDC25C/NEK2	20
BP	GO:0035725	sodium ion transmembrane transport	18/900	140/18670	0.000138357674727301	0.00463158996397336	0.00382694623527473	NOS1/FXYD1/CAV3/SCN2B/SCN4B/SCN7A/SCN1A/ATP1A2/SLC17A7/PRKCE/ATP1B2/HECW2/SLC9A5/FXYD6/WNK2/ATP1B1/KCNK1/TESC	18
BP	GO:0072073	kidney epithelium development	18/900	140/18670	0.000138357674727301	0.00463158996397336	0.00382694623527473	BMPER/GPC3/TCF21/SLIT2/SFRP1/NPNT/WNT2B/SMAD6/FGF2/PECAM1/FAT4/KANK2/EPCAM/SIX4/HOXB7/KIF26B/SIX2/CRLF1	18
BP	GO:0048557	embryonic digestive tract morphogenesis	6/900	18/18670	0.000138975494018004	0.00463158996397336	0.00382694623527473	TCF21/FGF10/FOXF1/HLX/SIX2/SOX11	6
BP	GO:0002576	platelet degranulation	17/900	128/18670	0.000140947403606547	0.00466619914323925	0.00385554277972875	PPBP/CLEC3B/ITGA2B/ACTN2/TIMP3/VWF/CD36/MMRN1/P2RX1/APOA1/A2M/PECAM1/CFD/SELP/SERPING1/PDGFB/SERPINA4	17
BP	GO:0090257	regulation of muscle system process	27/900	259/18670	0.000142385661927062	0.00468280213140382	0.00386926133934757	ADRA1A/NOS1/CAV1/HSPB6/TNNT3/CAV3/ADRB2/TNNC1/CALCRL/PI16/TRPC3/ATP1A2/NPNT/CASQ2/DOCK4/TNNT2/PDE5A/P2RX1/ADRA1B/RYR2/LMCD1/GSTM2/GJA5/DSG2/ATP1B1/EDN2/DSP	27
BP	GO:0009952	anterior/posterior pattern specification	24/900	219/18670	0.000153530727791647	0.00500535268510521	0.00413577535219736	WNT3A/GPC3/DMRT2/ALDH1A2/ARC/CRB2/TCAP/HOXA4/SFRP1/FOXF1/HOXA5/ZBTB16/HOXA2/HOXA6/WNT2B/TBX3/HEY1/SOX17/TCF15/HOXB7/OTX1/SIX2/HOXC10/BARX1	24
BP	GO:0003206	cardiac chamber morphogenesis	17/900	129/18670	0.000155196972632788	0.00500535268510521	0.00413577535219736	SLIT2/CAV3/TEK/SLIT3/FOXF1/TBX2/TNNC1/HEG1/TBX3/SMAD6/TNNT2/HEY1/RYR2/GJA5/DSP/SOX11/COL11A1	17
BP	GO:0007043	cell-cell junction assembly	17/900	129/18670	0.000155196972632788	0.00500535268510521	0.00413577535219736	CAV1/CDH19/RAMP2/CDH5/NFASC/CLDN5/HEG1/PECAM1/GPBAR1/ESAM/GJA5/PKP3/MARVELD3/LSR/ECT2/CDH3/GJB2	17
BP	GO:0007162	negative regulation of cell adhesion	29/900	289/18670	0.000160068135935983	0.00512936289451267	0.00423824133207015	MYOC/TNR/FAM107A/SEMA6A/SEMA5A/ACVRL1/GNRH1/AJAP1/CORO2B/TBX21/JAM2/ANGPT1/DLC1/CX3CL1/HLX/FBLN1/PDE5A/DUSP1/APOA1/ARHGAP6/LRRC32/SFTPD/SPN/CXCL12/EPCAM/TNFRSF21/MDK/VTCN1/MMP12	29
BP	GO:0071466	cellular response to xenobiotic stimulus	21/900	180/18670	0.000163209374185819	0.00513767831953696	0.00424511212260622	CDO1/CYP3A7/AOC3/FMO2/GSTM5/BCHE/PDE2A/CYP1A2/CYP26B1/CASQ2/CSAD/AQP1/RYR2/CES1/GSTM2/PDGFB/ACY3/NQO1/GJB2/AKR7A3/HNF4A	21
BP	GO:0007094	mitotic spindle assembly checkpoint	8/900	34/18670	0.000167517836982041	0.00513767831953696	0.00424511212260622	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
BP	GO:0031577	spindle checkpoint	8/900	34/18670	0.000167517836982041	0.00513767831953696	0.00424511212260622	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
BP	GO:0048566	embryonic digestive tract development	8/900	34/18670	0.000167517836982041	0.00513767831953696	0.00424511212260622	TCF21/ALDH1A2/FGF10/FOXF1/HLX/SIX2/SOX11/STRA6	8
BP	GO:0071173	spindle assembly checkpoint	8/900	34/18670	0.000167517836982041	0.00513767831953696	0.00424511212260622	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
BP	GO:0071174	mitotic spindle checkpoint	8/900	34/18670	0.000167517836982041	0.00513767831953696	0.00424511212260622	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
BP	GO:0034765	regulation of ion transmembrane transport	42/900	483/18670	0.000167521817580421	0.00513767831953696	0.00424511212260622	DPP6/GRIA1/KCNA4/FHL1/NOS1/CAV1/FXYD1/CLIC5/RAMP3/CAV3/SCN2B/ARC/ADRB2/SCN4B/TMC2/ACTN2/SCN7A/SHANK3/SCN1A/KCNB1/ATP1A2/CACNG4/RGS9/CASQ2/CX3CL1/REM1/PRKCE/CACNB4/ATP1B2/HECW2/TRPC1/RYR2/CACNA2D2/KCNAB3/JPH4/GSTM2/FXYD6/GJA5/WNK2/ATP1B1/TESC/HTR3A	42
BP	GO:0003231	cardiac ventricle development	17/900	130/18670	0.000170689467282356	0.00520271183336759	0.00429884739771837	SLIT2/SLIT3/FOXF1/TNNC1/PDE2A/HEG1/TBX3/SMAD6/TNNT2/HEY1/RYR2/GJA5/SALL4/DSP/SOX11/STRA6/COL11A1	17
BP	GO:0050900	leukocyte migration	43/900	499/18670	0.000171723835268184	0.00520271183336759	0.00429884739771837	SLIT2/PPBP/CAV1/ITGA2B/CCL23/ANGPT4/TEK/CCL16/CCL14/EDNRB/DAPK2/S1PR1/TBX21/THBD/JAM2/ANGPT1/IL33/CX3CL1/IL12A/CX3CR1/DUSP1/PECAM1/SFTPD/ESAM/ATP1B2/SPN/SELP/PRTN3/CXCL12/ZAP70/PTN/PDGFB/ITGAL/SLC7A5/EPCAM/ATP1B1/MDK/EDN2/F2RL1/PODXL2/SLC7A11/CXCL14/MMP1	43
BP	GO:0048843	negative regulation of axon extension involved in axon guidance	7/900	26/18670	0.000173538089317924	0.00522600547289338	0.00431809424529824	WNT3A/SEMA3G/SEMA6A/SEMA5A/SEMA6D/SEMA3D/SEMA4B	7
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	20/900	168/18670	0.000176097685256221	0.00527133130895718	0.00435554564730798	CNTN6/CDH19/FAT3/ROBO4/CDH5/ROBO3/CADM3/PCDHGA12/PECAM1/PCDHGB7/ESAM/DSCAML1/FAT4/CDH23/PCDH10/PCDH12/PTPRM/DSG2/CDH3/IGSF9	20
BP	GO:1903779	regulation of cardiac conduction	12/900	73/18670	0.000178018895786446	0.00529712178593121	0.00437685555805773	NOS1/CAV1/FXYD1/NPR1/ATP1A2/CASQ2/ATP1B2/TRPC1/RYR2/FXYD6/GJA5/ATP1B1	12
BP	GO:0097756	negative regulation of blood vessel diameter	13/900	84/18670	0.000181772695485157	0.00537681482088934	0.00444270356327471	SLC6A4/ADRA1A/CAV1/AVPR2/EDNRB/ATP1A2/APLN/DOCK4/P2RX1/ADRA1B/KCNMB2/GJA5/EDN2	13
BP	GO:0010959	regulation of metal ion transport	36/900	394/18670	0.000185627561696786	0.00545854224071902	0.00451023252073182	DPP6/P2RX2/VIP/FHL1/NOS1/CAV1/FXYD1/RAMP3/CAV3/SCN2B/ADRB2/SCN4B/TMC2/ACTN2/TRPC3/ATP1A2/RGS9/CASQ2/CX3CL1/REM1/P2RX1/PRKCE/CACNB4/ATP1B2/HECW2/TRPC1/RYR2/CXCL12/JPH4/GSTM2/FXYD6/PDGFB/WNK2/ATP1B1/TESC/SPINK1	36
BP	GO:0044706	multi-multicellular organism process	24/900	222/18670	0.000189058211144235	0.00551471097414691	0.0045566430891552	SLC6A4/FOSB/CLIC5/ACR/RAMP2/PGR/NPFF/GNRH1/EMP2/THBD/PLA2G4B/RECK/PTGFR/FBLN1/P2RX1/PTGIS/PTN/CYP27B1/DSG2/MMP7/SLC2A1/AMBP/GJB2/SPP1	24
BP	GO:0001952	regulation of cell-matrix adhesion	16/900	119/18670	0.000189744006311916	0.00551471097414691	0.0045566430891552	MYOC/FAM107A/TEK/SFRP1/ACVRL1/AJAP1/EMP2/CD36/DLC1/CX3CL1/ARHGAP6/LIMCH1/GPM6B/KDR/FERMT1/MMP12	16
BP	GO:0009410	response to xenobiotic stimulus	29/900	292/18670	0.000191158990629889	0.00552372135351917	0.00456408809997983	FOSB/CDO1/FIBIN/CYP3A7/AOC3/FMO2/GSTM5/BCHE/PDE2A/CYP1A2/NPFF/CACNG4/RGS9/CYP26B1/CASQ2/PRKCE/CSAD/AQP1/RYR2/NR4A2/CES1/GSTM2/PDGFB/ACY3/NQO1/GJB2/AKR7A3/HTR3A/HNF4A	29
BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	6/900	19/18670	0.000194867321230479	0.00556885661895287	0.00460138203909646	MME/CMA1/CTSG/CES1/GJA5/F2RL1	6
BP	GO:0010951	negative regulation of endopeptidase activity	26/900	250/18670	0.000194948971457642	0.00556885661895287	0.00460138203909646	WFDC12/SERPINA9/COL4A3/CRB2/ANXA8L1/SPOCK2/SERPINI2/TIMP3/CRYAB/VTN/RECK/A2M/AQP1/SERPING1/LAMP3/ITIH5/SFN/BIRC5/WFDC2/CST2/WFDC3/AMBP/CST4/SERPINA4/CST1/SPINK1	26
BP	GO:0002040	sprouting angiogenesis	21/900	183/18670	0.000205767059967636	0.00584448598169439	0.00482912645522132	BMPER/SLIT2/CCBE1/SEMA6A/TEK/RAMP2/SEMA5A/ACVRL1/GATA2/ANGPT1/RECK/FLT4/MMRN2/FGF2/CLEC14A/RSPO3/RHOJ/KDR/STARD13/CREB3L1/E2F8	21
BP	GO:0098801	regulation of renal system process	8/900	35/18670	0.000208061060790002	0.00585932011217122	0.00484138345988353	AVPR2/EDNRB/NPR1/CORO2B/EMP2/PDGFB/GJA5/F2RL1	8
BP	GO:1902667	regulation of axon guidance	9/900	44/18670	0.000208633522697835	0.00585932011217122	0.00484138345988353	WNT3A/SLIT2/SEMA3G/SEMA6A/SEMA5A/SEMA6D/SEMA3D/CXCL12/SEMA4B	9
BP	GO:0007044	cell-substrate junction assembly	14/900	97/18670	0.000222241373623822	0.00613531985461937	0.00506943390984016	MYOC/FAM107A/TEK/ACTN2/SFRP1/ACVRL1/CORO2B/DLC1/TNS1/ARHGAP6/LIMCH1/GPM6B/KDR/COL17A1	14
BP	GO:0150115	cell-substrate junction organization	14/900	97/18670	0.000222241373623822	0.00613531985461937	0.00506943390984016	MYOC/FAM107A/TEK/ACTN2/SFRP1/ACVRL1/CORO2B/DLC1/TNS1/ARHGAP6/LIMCH1/GPM6B/KDR/COL17A1	14
BP	GO:0002026	regulation of the force of heart contraction	7/900	27/18670	0.00022459762620431	0.00613531985461937	0.00506943390984016	ADRA1A/NOS1/CAV1/ATP1A2/APLN/RYR2/EDN2	7
BP	GO:0072376	protein activation cascade	7/900	27/18670	0.00022459762620431	0.00613531985461937	0.00506943390984016	GP9/VWF/KLKB1/FBLN1/A2M/F10/SERPING1	7
BP	GO:0072378	blood coagulation, fibrin clot formation	7/900	27/18670	0.00022459762620431	0.00613531985461937	0.00506943390984016	GP9/VWF/KLKB1/FBLN1/A2M/F10/SERPING1	7
BP	GO:0045765	regulation of angiogenesis	35/900	383/18670	0.000226174982528063	0.00614483009596624	0.00507729194187712	BMPER/CCBE1/COL4A3/HSPB6/SEMA6A/ANGPT4/TEK/SFRP1/RAMP2/SEMA5A/NPR1/CMA1/ACVRL1/HOXA5/GATA2/CDH5/EMP2/TIE1/CD160/CX3CL1/RECK/SASH1/MMRN2/CX3CR1/PTGIS/FGF2/AQP1/RHOJ/KDR/STARD13/PTN/PTPRM/CREB3L1/MDK/ADM2	35
BP	GO:0010454	negative regulation of cell fate commitment	5/900	13/18670	0.000239538958457558	0.00643793146951253	0.00531947296540722	WNT3A/SOSTDC1/TBX21/SOX17/SPDEF	5
BP	GO:0043116	negative regulation of vascular permeability	5/900	13/18670	0.000239538958457558	0.00643793146951253	0.00531947296540722	SLIT2/RAMP2/PDE2A/ANGPT1/AKAP12	5
BP	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	8/900	36/18670	0.000256314241634156	0.00685195130443395	0.0056615653485642	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
BP	GO:0061041	regulation of wound healing	18/900	148/18670	0.000279706470481976	0.00743751407414573	0.00614539860118294	CPB2/CAV1/DUOX1/AJAP1/THBD/CD36/VTN/KLKB1/FGF2/MYOZ1/PRKCE/SELP/SERPING1/HBEGF/PDGFB/F2RL1/PROC/TSPAN8	18
BP	GO:0031623	receptor internalization	15/900	111/18670	0.000281766291739523	0.00745264387516336	0.00615789990969584	WNT3A/SH3GL2/RSPO1/GRIA1/CAV1/RAMP3/CAV3/ARC/RAMP2/CALCRL/CD36/ANGPT1/LRRTM2/CACNG4/APLN	15
BP	GO:0032956	regulation of actin cytoskeleton organization	32/900	343/18670	0.000286639092670349	0.00754162539083724	0.0062314227126784	MYOC/SYNPO2L/FAM107A/SLIT2/KANK3/PLEKHH2/CAV3/TEK/ACTN2/SFRP1/ARHGEF15/SEMA5A/SHANK3/CORO2B/S1PR1/DLC1/CX3CL1/TMSB15A/TMOD1/APOA1/ARHGAP6/PRKCE/NTRK3/SYNPO2/LIMCH1/GPM6B/RHOJ/CXCL12/ECT2/MDK/F2RL1/RHOV	32
BP	GO:0006816	calcium ion transport	38/900	434/18670	0.000294081579079719	0.00769693096240584	0.00635974712763195	WNT3A/P2RX2/GPM6A/ADRA1A/NOS1/CAV1/NMUR1/RAMP3/CAV3/MCOLN3/TMC2/RAMP2/PDE2A/CALCRL/TRPC3/ATP1A2/CACNG4/RGS9/CASQ2/CX3CL1/REM1/P2RX1/FGF2/PRKCE/CACNB4/TRPC1/RYR2/CACNA2D2/CXCL12/JPH4/CDH23/GSTM2/PDGFB/CYP27B1/ATP1B1/KCNN4/FAM155B/SPINK1	38
BP	GO:0050919	negative chemotaxis	9/900	46/18670	0.000297400385215148	0.00773407457176602	0.00639043779695094	SLIT2/SEMA3G/SEMA6A/SLIT3/SEMA5A/APOA1/SEMA6D/SEMA3D/SEMA4B	9
BP	GO:0051783	regulation of nuclear division	21/900	188/18670	0.000298594997469662	0.00773407457176602	0.00639043779695094	CAV2/DUSP1/MAPK15/HECW2/PDGFB/NUSAP1/TGFA/MAD2L1/TTK/PLK1/ANLN/CCNB1/BUB1B/CDC6/AURKB/CDCA5/CDC20/UBE2C/DLGAP5/CDC25C/NEK2	21
BP	GO:0014074	response to purine-containing compound	18/900	149/18670	0.000304125814835836	0.00780832041047726	0.00645178494450738	SLC6A4/P2RX6/P2RX2/FOSB/CDO1/TEK/DUOX1/PDE2A/GPD1/TRPC3/THBD/CASQ2/P2RX1/DUSP1/AQP1/RYR2/GSTM2/NME1	18
BP	GO:0086065	cell communication involved in cardiac conduction	10/900	56/18670	0.000304585413091231	0.00780832041047726	0.00645178494450738	CAV1/SCN4B/ATP1A2/CASQ2/ATP1B2/RYR2/GJA5/DSG2/ATP1B1/DSP	10
BP	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	8/900	37/18670	0.000313347335835952	0.00799195577471389	0.00660351743190265	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
BP	GO:1904018	positive regulation of vasculature development	24/900	230/18670	0.000321769411970533	0.00816510299716088	0.0067465838769563	TMEM100/BMPER/CCBE1/HSPB6/ANGPT4/TEK/RAMP2/SEMA5A/CMA1/ACVRL1/GATA2/CDH5/TIE1/CX3CL1/SASH1/CX3CR1/PTGIS/FGF2/AQP1/RHOJ/KDR/PDGFB/MDK/ADM2	24
BP	GO:0050920	regulation of chemotaxis	23/900	217/18670	0.000339734497070501	0.00857057893015193	0.00708161668584584	WNT3A/SLIT2/SEMA3G/SEMA6A/FGF10/SEMA5A/DAPK2/S1PR1/IL12A/DUSP1/FGF2/SEMA6D/NTRK3/SEMA3D/KDR/CXCL12/PTN/PDGFB/SEMA4B/MDK/EDN2/F2RL1/CXCL14	23
BP	GO:0002027	regulation of heart rate	14/900	101/18670	0.000341177276875422	0.00857057893015193	0.00708161668584584	ADRA1A/CAV1/EPAS1/CAV3/SCN2B/SCN4B/NPFF/CASQ2/BVES/RYR2/GJA5/DSG2/EDN2/DSP	14
BP	GO:0000280	nuclear division	36/900	407/18670	0.000346784658191063	0.00866788253148561	0.00716201578285121	CAV2/CYP26B1/DUSP1/MAPK15/HECW2/PDGFB/RAD51/NUSAP1/TGFA/MAD2L1/NCAPG/TTK/NCAPH/KIF14/ZWINT/PLK1/CDCA8/KIF2C/ANLN/TPX2/CCNB1/BUB1B/KIF4A/CDC6/AURKB/TOP2A/BIRC5/CDCA5/CDC20/UBE2C/DLGAP5/CDC25C/MYBL2/MND1/NUF2/NEK2	36
BP	GO:0048638	regulation of developmental growth	32/900	347/18670	0.000351952581665205	0.00874846166610441	0.00722859594609316	SLC6A4/WNT3A/TNR/SEMA3G/SEMA6A/CAV3/ADRB2/SFRP1/TBX2/SEMA5A/DCC/PI16/ACACB/HLX/FGF2/MYOZ1/SEMA6D/NTRK3/SEMA3D/MEIS1/CACNA2D2/CXCL12/WWC2/SEMA4B/CCNB1/PLS1/SIX4/PHLDA2/CRABP2/RASAL1/AGR2/SPP1	32
BP	GO:0043542	endothelial cell migration	27/900	274/18670	0.000355144387291606	0.00874846166610441	0.00722859594609316	BMPER/SLIT2/CCBE1/ANGPT4/TEK/SEMA5A/ACVRL1/GATA2/EMP2/ANGPT1/FLT4/SASH1/MMRN2/WNT7A/APOA1/FGF2/SOX18/PECAM1/CLEC14A/RHOJ/KDR/STARD13/PTN/PTPRM/PDGFB/S100A2/S100P	27
BP	GO:0045766	positive regulation of angiogenesis	22/900	204/18670	0.000356200438583239	0.00874846166610441	0.00722859594609316	BMPER/CCBE1/HSPB6/ANGPT4/TEK/RAMP2/SEMA5A/CMA1/ACVRL1/GATA2/CDH5/TIE1/CX3CL1/SASH1/CX3CR1/PTGIS/FGF2/AQP1/RHOJ/KDR/MDK/ADM2	22
BP	GO:2000345	regulation of hepatocyte proliferation	5/900	14/18670	0.000357867300033952	0.00874846166610441	0.00722859594609316	WNT3A/CPB2/LIMS2/PTN/MDK	5
BP	GO:1902307	positive regulation of sodium ion transmembrane transport	6/900	21/18670	0.00035875868004629	0.00874846166610441	0.00722859594609316	NOS1/FXYD1/ATP1B2/WNK2/ATP1B1/TESC	6
BP	GO:0010644	cell communication by electrical coupling	7/900	29/18670	0.000362840249384855	0.0088050408091014	0.00727534562384348	CAV1/ATP1A2/CASQ2/ATP1B2/RYR2/GJA5/ATP1B1	7
BP	GO:0072511	divalent inorganic cation transport	41/900	486/18670	0.00037396990953451	0.0090312829843624	0.00746228286302272	WNT3A/P2RX2/GPM6A/ADRA1A/NOS1/CAV1/NMUR1/RAMP3/CAV3/MCOLN3/TMC2/RAMP2/PDE2A/CALCRL/TRPC3/ATP1A2/CACNG4/RGS9/CASQ2/CX3CL1/REM1/P2RX1/FGF2/PRKCE/CACNB4/TRPC1/RYR2/SLC39A8/CACNA2D2/CXCL12/JPH4/CDH23/GSTM2/PDGFB/CYP27B1/ATP1B1/KCNN4/NIPAL1/FAM155B/SPINK1/TCN1	41
BP	GO:0033047	regulation of mitotic sister chromatid segregation	11/900	68/18670	0.000378986540392862	0.0091023775597217	0.00752102621457932	DUSP1/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	11
BP	GO:0030193	regulation of blood coagulation	12/900	79/18670	0.000380555493094986	0.0091023775597217	0.00752102621457932	CPB2/CAV1/THBD/CD36/VTN/KLKB1/SELP/SERPING1/PDGFB/F2RL1/PROC/TSPAN8	12
BP	GO:0098813	nuclear chromosome segregation	26/900	262/18670	0.000406592205522542	0.00967504286551221	0.00799420267301248	DUSP1/MAPK15/HECW2/NUSAP1/MAD2L1/NCAPG/TTK/NCAPH/KIF14/ZWINT/PLK1/CDCA8/KIF2C/CCNB1/BUB1B/KIF4A/CDC6/AURKB/ECT2/TOP2A/CDCA5/CDC20/ESCO2/DLGAP5/NUF2/NEK2	26
BP	GO:0030510	regulation of BMP signaling pathway	13/900	91/18670	0.000408368482621139	0.00967504286551221	0.00799420267301248	BMPER/SOSTDC1/GPC3/CRB2/SFRP1/CHRDL1/ACVRL1/CDH5/VWC2/ZNF423/SMAD6/RNF165/SOX11	13
BP	GO:0007059	chromosome segregation	30/900	321/18670	0.000425300273664221	0.00996126930499487	0.00823070314121769	DUSP1/MAPK15/HECW2/NUSAP1/MAD2L1/NCAPG/CDCA2/TTK/NCAPH/KIF14/ZWINT/PLK1/CDCA8/KIF2C/CCNB1/SKA3/BUB1B/KIF4A/CDC6/AURKB/ECT2/TOP2A/HJURP/BIRC5/CDCA5/CDC20/ESCO2/DLGAP5/NUF2/NEK2	30
BP	GO:1901654	response to ketone	21/900	193/18670	0.000426228707744869	0.00996126930499487	0.00823070314121769	FOSB/SLIT2/CAV1/FIBIN/SLIT3/SFRP1/RAMP2/GNRH1/PTGDR/PTGFR/MAOB/DUSP1/PRKCE/NTRK3/AQP1/PTN/NME1/DSG2/GJB2/CA9/SPP1	21
BP	GO:0040013	negative regulation of locomotion	34/900	381/18670	0.000426764300369837	0.00996126930499487	0.00823070314121769	WNT3A/SLIT2/NDRG4/SEMA3G/SEMA6A/ANGPT4/ADARB1/SFRP1/SEMA5A/ACVRL1/GNRH1/IL33/TIE1/DLC1/CX3CL1/RECK/MMRN2/FBLN1/CX3CR1/MCC/DUSP1/MAPK15/FGF2/SEMA6D/SEMA3D/LIMCH1/CXCL12/STARD13/NAV3/PTN/PTPRM/SEMA4B/MARVELD3/FRMD5	34
BP	GO:1900046	regulation of hemostasis	12/900	80/18670	0.000428420264167613	0.00996126930499487	0.00823070314121769	CPB2/CAV1/THBD/CD36/VTN/KLKB1/SELP/SERPING1/PDGFB/F2RL1/PROC/TSPAN8	12
BP	GO:0050771	negative regulation of axonogenesis	11/900	69/18670	0.000431546593245488	0.00998750657238054	0.00825238222171197	WNT3A/TNR/SLIT2/SEMA3G/SEMA6A/SEMA5A/DCC/SEMA6D/SEMA3D/SEMA4B/SPP1	11
BP	GO:0030049	muscle filament sliding	8/900	39/18670	0.000458486949115429	0.0104656450165663	0.00864745392131191	DES/TNNT3/TCAP/ACTN2/TNNC1/TMOD1/TNNT2/MYH3	8
BP	GO:0033275	actin-myosin filament sliding	8/900	39/18670	0.000458486949115429	0.0104656450165663	0.00864745392131191	DES/TNNT3/TCAP/ACTN2/TNNC1/TMOD1/TNNT2/MYH3	8
BP	GO:2000816	negative regulation of mitotic sister chromatid separation	8/900	39/18670	0.000458486949115429	0.0104656450165663	0.00864745392131191	DUSP1/MAD2L1/TTK/PLK1/CCNB1/BUB1B/AURKB/CDC20	8
